Invoice Number,Field_1,Vendor,Pin code,Field_2,Invoice Date,Field_3,Tax(18%),Field_4,Total Price,Field_5,Total Amount,Field_6,Sum,Field_7,SUMIF
INV-53195,,Vendor,58642,,15-Apr-24,,14968,,68187,,83155,,83155,,
INV-34130,,Vendor,69143,,3-May-24,,8919,,40632,,49552,,49552,,
INV-43618,,Vendor,99159,,27-Apr-24,,9807,,44674,,54481,,54481,,
INV-71102,,Vendor,39295,,16-Apr-24,,14384,,65526,,79910,,79910,,
INV-38982,,Vendor,82727,,15-Apr-24,,4782,,21785,,26568,,26568,,
INV-85068,,Vendor,45295,,4-May-24,,2911,,13260,,16171,,16171,,
INV-33146,,Vendor,62701,,12-Apr-24,,11286,,51415,,62702,,62702,,
INV-43393,,Vendor,81228,,19-Apr-24,,16239,,73978,,90217,,90217,,
INV-92936,,Vendor,41847,,16-Apr-24,,11922,,54312,,66234,,66234,,
INV-55465,,Vendor,65786,,24-Apr-24,,2681,,12214,,14895,,14895,,
INV-86061,,Vendor,92329,,16-Apr-24,,11414,,51999,,63413,,63413,,
INV-10753,,Vendor,10279,,17-Apr-24,,2615,,11913,,14528,,14528,,
INV-25410,,Vendor,72855,,9-Apr-24,,5984,,27261,,33245,,33245,,
INV-68563,,Vendor,45132,,13-Apr-24,,3092,,14085,,17177,,17177,,
INV-68918,,Vendor,95174,,26-Apr-24,,2624,,11954,,14578,,14578,,
INV-53627,,Vendor,82202,,2-May-24,,4102,,18686,,22788,,22788,,
INV-56829,,Vendor,94730,,17-Apr-24,,10462,,47660,,58122,,58122,,
INV-50069,,Vendor,76685,,22-Apr-24,,2994,,13638,,16632,,16632,,
INV-23052,,Vendor,20721,,11-Apr-24,,14269,,65005,,79274,,79274,,
INV-29225,,Vendor,30183,,29-Apr-24,,9752,,44426,,54178,,54178,,
INV-12656,,Vendor,71858,,23-Apr-24,,3508,,15980,,19488,,19488,,
INV-13009,,Vendor,87285,,4-May-24,,17424,,79377,,96801,,96801,,
INV-82413,,Vendor,99203,,30-Apr-24,,10938,,49830,,60768,,60768,,
INV-41291,,Vendor,36784,,2-May-24,,8122,,37000,,45122,,45122,,
INV-99522,,Vendor,44745,,1-May-24,,9549,,43502,,53051,,53051,,
INV-76263,,Vendor,26826,,28-Apr-24,,6742,,30714,,37456,,37456,,
INV-76653,,Vendor,71426,,12-Apr-24,,7114,,32410,,39524,,39524,,
INV-83499,,Vendor,94419,,23-Apr-24,,1342,,6113,,7454,,7454,,
INV-35035,,Vendor,23863,,25-Apr-24,,9153,,41697,,50850,,50850,,
INV-29620,,Vendor,10813,,27-Apr-24,,5847,,26638,,32485,,32485,,
INV-74101,,Vendor,85138,,30-Apr-24,,17126,,78018,,95144,,95144,,
INV-14527,,Vendor,93622,,24-Apr-24,,14344,,65344,,79687,,79687,,
INV-51089,,Vendor,71859,,15-Apr-24,,16426,,74828,,91254,,91254,,
INV-59108,,Vendor,88387,,19-Apr-24,,13409,,61087,,74497,,74497,,
INV-86031,,Vendor,15422,,12-Apr-24,,6821,,31072,,37893,,37893,,
INV-66361,,Vendor,18752,,7-Apr-24,,12695,,57831,,70526,,70526,,
INV-24341,,Vendor,10991,,19-Apr-24,,15508,,70650,,86158,,86158,,
INV-91971,,Vendor,67389,,5-May-24,,14156,,64488,,78644,,78644,,
INV-94752,,Vendor,73761,,24-Apr-24,,5582,,25429,,31011,,31011,,
INV-43612,,Vendor,67845,,24-Apr-24,,11636,,53007,,64643,,64643,,
INV-40993,,Vendor,31345,,26-Apr-24,,12819,,58395,,71214,,71214,,
INV-64248,,Vendor,87813,,7-Apr-24,,10072,,45882,,55953,,55953,,
INV-40226,,Vendor,74198,,23-Apr-24,,11217,,51100,,62317,,62317,,
INV-62881,,Vendor,17177,,22-Apr-24,,12662,,57683,,70345,,70345,,
INV-39789,,Vendor,67254,,12-Apr-24,,2418,,11014,,13432,,13432,,
INV-76625,,Vendor,62129,,29-Apr-24,,6576,,29958,,36534,,36534,,
INV-57561,,Vendor,10444,,19-Apr-24,,15174,,69128,,84302,,84302,,
INV-77189,,Vendor,44379,,3-May-24,,16137,,73513,,89650,,89650,,
INV-39809,,Vendor,82051,,21-Apr-24,,11473,,52266,,63739,,63739,,
INV-38413,,Vendor,85915,,22-Apr-24,,4409,,20086,,24496,,24496,,
INV-50333,,Vendor,49020,,13-Apr-24,,12882,,58687,,71569,,71569,,
INV-84540,,Vendor,77174,,19-Apr-24,,4912,,22379,,27292,,27292,,
INV-17472,,Vendor,54769,,26-Apr-24,,5930,,27013,,32943,,32943,,
INV-84382,,Vendor,19838,,11-Apr-24,,11820,,53847,,65667,,65667,,
INV-23425,,Vendor,43113,,8-Apr-24,,3046,,13878,,16924,,16924,,
INV-94482,,Vendor,43475,,15-Apr-24,,721,,3284,,4005,,4005,,
INV-42277,,Vendor,79854,,13-Apr-24,,3453,,15731,,19184,,19184,,
INV-27505,,Vendor,24176,,21-Apr-24,,17932,,81692,,99624,,99624,,
INV-66213,,Vendor,98037,,22-Apr-24,,378,,1723,,2101,,2101,,
INV-95612,,Vendor,79879,,19-Apr-24,,8271,,37679,,45950,,45950,,
INV-19301,,Vendor,42043,,5-May-24,,10547,,48046,,58593,,58593,,
INV-87867,,Vendor,75725,,1-May-24,,59,,268,,327,,327,,
INV-29812,,Vendor,26810,,22-Apr-24,,3962,,18051,,22014,,22014,,
INV-78508,,Vendor,57624,,19-Apr-24,,13738,,62583,,76321,,76321,,
INV-78368,,Vendor,20626,,1-May-24,,708,,3226,,3934,,3934,,
INV-81358,,Vendor,67832,,11-Apr-24,,15443,,70351,,85794,,85794,,
INV-24401,,Vendor,42324,,3-May-24,,14740,,67148,,81888,,81888,,
INV-41696,,Vendor,65831,,5-May-24,,13645,,62160,,75805,,75805,,
INV-83302,,Vendor,88696,,24-Apr-24,,14383,,65523,,79906,,79906,,
INV-68478,,Vendor,99783,,19-Apr-24,,1046,,4765,,5811,,5811,,
INV-49744,,Vendor,55645,,21-Apr-24,,11621,,52940,,64561,,64561,,
INV-99523,,Vendor,62635,,30-Apr-24,,3643,,16596,,20239,,20239,,
INV-23283,,Vendor,44258,,3-May-24,,4632,,21102,,25734,,25734,,
INV-89599,,Vendor,59952,,18-Apr-24,,12355,,56285,,68640,,68640,,
INV-52234,,Vendor,70432,,30-Apr-24,,12727,,57977,,70703,,70703,,
INV-48692,,Vendor,33647,,28-Apr-24,,5660,,25783,,31443,,31443,,
INV-94295,,Vendor,35399,,19-Apr-24,,5841,,26611,,32453,,32453,,
INV-66537,,Vendor,33469,,22-Apr-24,,1730,,7883,,9614,,9614,,
INV-69814,,Vendor,80963,,26-Apr-24,,10062,,45840,,55903,,55903,,
INV-56597,,Vendor,73394,,7-Apr-24,,16121,,73442,,89563,,89563,,
INV-59360,,Vendor,60776,,23-Apr-24,,8724,,39745,,48469,,48469,,
INV-34797,,Vendor,15791,,14-Apr-24,,12606,,57427,,70033,,70033,,
INV-35739,,Vendor,77379,,5-May-24,,1708,,7780,,9487,,9487,,
INV-63401,,Vendor,60037,,10-Apr-24,,3362,,15315,,18676,,18676,,
INV-63463,,Vendor,17809,,15-Apr-24,,9845,,44852,,54697,,54697,,
INV-12440,,Vendor,64939,,24-Apr-24,,6445,,29362,,35807,,35807,,
INV-70327,,Vendor,90844,,4-May-24,,1634,,7443,,9076,,9076,,
INV-70996,,Vendor,47532,,23-Apr-24,,7526,,34283,,41809,,41809,,
INV-55379,,Vendor,41759,,4-May-24,,2792,,12719,,15511,,15511,,
INV-13439,,Vendor,68439,,21-Apr-24,,14310,,65188,,79498,,79498,,
INV-83312,,Vendor,24089,,13-Apr-24,,12851,,58542,,71393,,71393,,
INV-56757,,Vendor,40890,,28-Apr-24,,15799,,71974,,87773,,87773,,
INV-26090,,Vendor,87864,,18-Apr-24,,7139,,32524,,39663,,39663,,
INV-19611,,Vendor,53764,,14-Apr-24,,9725,,44302,,54027,,54027,,
INV-89803,,Vendor,40277,,5-May-24,,13457,,61305,,74763,,74763,,
INV-91128,,Vendor,12445,,23-Apr-24,,9421,,42917,,52338,,52338,,
INV-18793,,Vendor,53067,,4-May-24,,6547,,29823,,36370,,36370,,
INV-53611,,Vendor,96980,,10-Apr-24,,17970,,81862,,99832,,99832,,
INV-79028,,Vendor,59601,,15-Apr-24,,16270,,74121,,90391,,90391,,
INV-72051,,Vendor,24793,,4-May-24,,1041,,4743,,5784,,5784,,
INV-98974,,Vendor,68255,,5-May-24,,5881,,26793,,32675,,32675,,
INV-45840,,Vendor,30205,,8-Apr-24,,7680,,34987,,42667,,42667,,
INV-45828,,Vendor,54336,,22-Apr-24,,13209,,60175,,73384,,73384,,
INV-61265,,Vendor,78043,,22-Apr-24,,9830,,44780,,54610,,54610,,
INV-36197,,Vendor,61670,,29-Apr-24,,9802,,44653,,54455,,54455,,
INV-81936,,Vendor,92128,,8-Apr-24,,16149,,73567,,89716,,89716,,
INV-23638,,Vendor,14048,,2-May-24,,1551,,7064,,8614,,8614,,
INV-49399,,Vendor,96355,,3-May-24,,6965,,31732,,38697,,38697,,
INV-78931,,Vendor,76252,,3-May-24,,17884,,81471,,99354,,99354,,
INV-75698,,Vendor,58411,,10-Apr-24,,5770,,26285,,32055,,32055,,
INV-39376,,Vendor,78848,,10-Apr-24,,1510,,6878,,8388,,8388,,
INV-53688,,Vendor,67306,,15-Apr-24,,1060,,4831,,5892,,5892,,
INV-69636,,Vendor,85726,,29-Apr-24,,918,,4182,,5100,,5100,,
INV-79592,,Vendor,28436,,4-May-24,,1153,,5251,,6404,,6404,,
INV-10783,,Vendor,34827,,29-Apr-24,,3897,,17754,,21652,,21652,,
INV-18401,,Vendor,28870,,29-Apr-24,,6998,,31878,,38876,,38876,,
INV-79395,,Vendor,51347,,14-Apr-24,,10335,,47083,,57419,,57419,,
INV-54209,,Vendor,37480,,14-Apr-24,,3852,,17549,,21401,,21401,,
INV-23878,,Vendor,34174,,2-May-24,,1037,,4722,,5759,,5759,,
INV-22791,,Vendor,36378,,1-May-24,,697,,3174,,3870,,3870,,
INV-46621,,Vendor,68970,,20-Apr-24,,10640,,48469,,59109,,59109,,
INV-65160,,Vendor,74457,,3-May-24,,3672,,16727,,20399,,20399,,
INV-21610,,Vendor,70927,,22-Apr-24,,15874,,72314,,88188,,88188,,
INV-30890,,Vendor,19103,,22-Apr-24,,15794,,71949,,87743,,87743,,
INV-75393,,Vendor,67197,,25-Apr-24,,11088,,50511,,61599,,61599,,
INV-56510,,Vendor,86504,,7-Apr-24,,7582,,34540,,42122,,42122,,
INV-39871,,Vendor,31200,,11-Apr-24,,3995,,18201,,22197,,22197,,
INV-98209,,Vendor,50323,,14-Apr-24,,5407,,24634,,30041,,30041,,
INV-12420,,Vendor,69777,,27-Apr-24,,10202,,46478,,56680,,56680,,
INV-45119,,Vendor,67548,,11-Apr-24,,2981,,13578,,16559,,16559,,
INV-41887,,Vendor,48032,,17-Apr-24,,4737,,21579,,26316,,26316,,
INV-75000,,Vendor,61576,,20-Apr-24,,17013,,77505,,94519,,94519,,
INV-22993,,Vendor,84313,,15-Apr-24,,3779,,17215,,20994,,20994,,
INV-17562,,Vendor,84969,,27-Apr-24,,13235,,60292,,73527,,73527,,
INV-56278,,Vendor,19143,,2-May-24,,9753,,44431,,54184,,54184,,
INV-11660,,Vendor,35667,,24-Apr-24,,13834,,63022,,76856,,76856,,
INV-16256,,Vendor,30628,,8-Apr-24,,11117,,50643,,61759,,61759,,
INV-36159,,Vendor,60155,,11-Apr-24,,10675,,48631,,59306,,59306,,
INV-34760,,Vendor,92190,,23-Apr-24,,9787,,44586,,54373,,54373,,
INV-64970,,Vendor,51266,,12-Apr-24,,1811,,8249,,10060,,10060,,
INV-60137,,Vendor,33544,,30-Apr-24,,3559,,16214,,19773,,19773,,
INV-80799,,Vendor,36307,,21-Apr-24,,3967,,18070,,22036,,22036,,
INV-38880,,Vendor,10559,,22-Apr-24,,6875,,31319,,38194,,38194,,
INV-89248,,Vendor,90495,,28-Apr-24,,10821,,49294,,60114,,60114,,
INV-36815,,Vendor,74606,,23-Apr-24,,1285,,5854,,7139,,7139,,
INV-84294,,Vendor,33623,,8-Apr-24,,692,,3150,,3842,,3842,,
INV-95300,,Vendor,20160,,3-May-24,,14886,,67816,,82702,,82702,,
INV-44230,,Vendor,62677,,27-Apr-24,,4785,,21797,,26581,,26581,,
INV-39479,,Vendor,44996,,7-Apr-24,,13238,,60305,,73542,,73542,,
INV-93141,,Vendor,17331,,16-Apr-24,,17814,,81154,,98969,,98969,,
INV-37568,,Vendor,52619,,9-Apr-24,,9584,,43662,,53247,,53247,,
INV-83367,,Vendor,42470,,27-Apr-24,,3794,,17285,,21079,,21079,,
INV-15347,,Vendor,54288,,5-May-24,,17885,,81477,,99362,,99362,,
INV-83640,,Vendor,99806,,4-May-24,,4314,,19653,,23967,,23967,,
INV-39718,,Vendor,82991,,6-May-24,,7986,,36382,,44368,,44368,,
INV-10936,,Vendor,63702,,17-Apr-24,,6238,,28419,,34658,,34658,,
INV-92908,,Vendor,74313,,17-Apr-24,,13057,,59484,,72541,,72541,,
INV-96812,,Vendor,25871,,19-Apr-24,,5962,,27158,,33120,,33120,,
INV-78694,,Vendor,22463,,14-Apr-24,,8727,,39758,,48486,,48486,,
INV-80156,,Vendor,49365,,19-Apr-24,,10081,,45923,,56004,,56004,,
INV-15920,,Vendor,40798,,4-May-24,,17604,,80197,,97801,,97801,,
INV-13178,,Vendor,19133,,9-Apr-24,,10026,,45674,,55700,,55700,,
INV-39161,,Vendor,48475,,19-Apr-24,,5928,,27004,,32931,,32931,,
INV-87327,,Vendor,73534,,6-May-24,,1889,,8607,,10496,,10496,,
INV-46799,,Vendor,53379,,6-May-24,,17978,,81899,,99876,,99876,,
INV-54919,,Vendor,42059,,13-Apr-24,,7531,,34306,,41836,,41836,,
INV-19602,,Vendor,17752,,18-Apr-24,,10120,,46103,,56223,,56223,,
INV-87907,,Vendor,54881,,21-Apr-24,,1370,,6243,,7613,,7613,,
INV-79971,,Vendor,43277,,1-May-24,,2262,,10303,,12565,,12565,,
INV-18814,,Vendor,82177,,3-May-24,,6914,,31497,,38411,,38411,,
INV-31897,,Vendor,68295,,12-Apr-24,,4276,,19478,,23753,,23753,,
INV-18065,,Vendor,48953,,25-Apr-24,,9279,,42272,,51551,,51551,,
INV-85692,,Vendor,22580,,21-Apr-24,,4630,,21092,,25722,,25722,,
INV-62766,,Vendor,69621,,17-Apr-24,,6670,,30385,,37055,,37055,,
INV-49744,,Vendor,51967,,22-Apr-24,,11256,,51278,,62534,,62534,,
INV-78589,,Vendor,85912,,18-Apr-24,,15011,,68382,,83392,,83392,,
INV-23290,,Vendor,21496,,14-Apr-24,,17493,,79689,,97182,,97182,,
INV-81451,,Vendor,22885,,18-Apr-24,,1303,,5934,,7236,,7236,,
INV-90866,,Vendor,13431,,24-Apr-24,,9991,,45514,,55505,,55505,,
INV-29260,,Vendor,66858,,24-Apr-24,,720,,3282,,4003,,4003,,
INV-50240,,Vendor,89469,,2-May-24,,9813,,44703,,54516,,54516,,
INV-99238,,Vendor,23426,,2-May-24,,14041,,63966,,78007,,78007,,
INV-70461,,Vendor,15868,,27-Apr-24,,15390,,70110,,85499,,85499,,
INV-96968,,Vendor,13199,,2-May-24,,14786,,67357,,82142,,82142,,
INV-79051,,Vendor,56444,,29-Apr-24,,16357,,74514,,90871,,90871,,
INV-42049,,Vendor,74162,,25-Apr-24,,1266,,5769,,7035,,7035,,
INV-39785,,Vendor,23991,,2-May-24,,9656,,43989,,53645,,53645,,
INV-38952,,Vendor,38823,,18-Apr-24,,1823,,8305,,10128,,10128,,
INV-73145,,Vendor,81510,,11-Apr-24,,8727,,39759,,48486,,48486,,
INV-34848,,Vendor,82423,,9-Apr-24,,10211,,46519,,56730,,56730,,
INV-80804,,Vendor,80082,,5-May-24,,4818,,21949,,26767,,26767,,
INV-20446,,Vendor,39688,,2-May-24,,8234,,37512,,45747,,45747,,
INV-90137,,Vendor,12584,,22-Apr-24,,9503,,43294,,52797,,52797,,
INV-33945,,Vendor,82001,,11-Apr-24,,15244,,69445,,84689,,84689,,
INV-72460,,Vendor,21676,,17-Apr-24,,12887,,58707,,71594,,71594,,
INV-93791,,Vendor,52603,,8-Apr-24,,3637,,16568,,20205,,20205,,
INV-63654,,Vendor,91796,,29-Apr-24,,16209,,73840,,90048,,90048,,
INV-47027,,Vendor,19102,,13-Apr-24,,4030,,18359,,22389,,22389,,
INV-43151,,Vendor,91541,,27-Apr-24,,6797,,30966,,37764,,37764,,
INV-84599,,Vendor,14474,,8-Apr-24,,12140,,55303,,67443,,67443,,
INV-83207,,Vendor,84767,,7-Apr-24,,6465,,29452,,35917,,35917,,
INV-93819,,Vendor,17477,,19-Apr-24,,2965,,13509,,16474,,16474,,
INV-58589,,Vendor,36821,,3-May-24,,1495,,6809,,8303,,8303,,
INV-33265,,Vendor,12118,,6-May-24,,108,,494,,602,,602,,
INV-74061,,Vendor,71870,,20-Apr-24,,8411,,38319,,46731,,46731,,
INV-37703,,Vendor,92413,,16-Apr-24,,16068,,73197,,89265,,89265,,
INV-57004,,Vendor,82191,,21-Apr-24,,1303,,5936,,7238,,7238,,
INV-16306,,Vendor,25184,,22-Apr-24,,3936,,17929,,21864,,21864,,
INV-98018,,Vendor,99783,,19-Apr-24,,5063,,23064,,28126,,28126,,
INV-46242,,Vendor,54274,,4-May-24,,6873,,31309,,38182,,38182,,
INV-58401,,Vendor,86156,,25-Apr-24,,4619,,21043,,25662,,25662,,
INV-64612,,Vendor,28142,,17-Apr-24,,11550,,52615,,64164,,64164,,
INV-23557,,Vendor,58043,,16-Apr-24,,5857,,26683,,32540,,32540,,
INV-16352,,Vendor,19702,,21-Apr-24,,13314,,60654,,73968,,73968,,
INV-53596,,Vendor,61064,,29-Apr-24,,13808,,62902,,76710,,76710,,
INV-77825,,Vendor,99836,,17-Apr-24,,6837,,31148,,37985,,37985,,
INV-86083,,Vendor,85243,,12-Apr-24,,14820,,67514,,82335,,82335,,
INV-59937,,Vendor,51540,,7-Apr-24,,17233,,78505,,95737,,95737,,
INV-34728,,Vendor,68589,,16-Apr-24,,8340,,37992,,46332,,46332,,
INV-37726,,Vendor,75880,,26-Apr-24,,11808,,53794,,65602,,65602,,
INV-37677,,Vendor,48158,,10-Apr-24,,14023,,63884,,77908,,77908,,
INV-75809,,Vendor,13071,,8-Apr-24,,12312,,56086,,68398,,68398,,
INV-69295,,Vendor,37285,,17-Apr-24,,12901,,58772,,71673,,71673,,
INV-60562,,Vendor,17664,,9-Apr-24,,2285,,10409,,12693,,12693,,
INV-11074,,Vendor,15487,,8-Apr-24,,8960,,40818,,49778,,49778,,
INV-26238,,Vendor,58338,,9-Apr-24,,9129,,41589,,50718,,50718,,
INV-71817,,Vendor,33245,,9-Apr-24,,10120,,46102,,56222,,56222,,
INV-57574,,Vendor,46380,,27-Apr-24,,14328,,65274,,79602,,79602,,
INV-63588,,Vendor,71277,,11-Apr-24,,8253,,37597,,45850,,45850,,
INV-41300,,Vendor,84626,,19-Apr-24,,1269,,5782,,7051,,7051,,
INV-43245,,Vendor,46068,,7-Apr-24,,16964,,77280,,94244,,94244,,
INV-25733,,Vendor,48079,,10-Apr-24,,1934,,8812,,10746,,10746,,
INV-62010,,Vendor,44000,,12-Apr-24,,6295,,28679,,34974,,34974,,
INV-58820,,Vendor,86336,,28-Apr-24,,13393,,61015,,74408,,74408,,
INV-50617,,Vendor,41906,,14-Apr-24,,9495,,43254,,52748,,52748,,
INV-62618,,Vendor,99562,,25-Apr-24,,8351,,38043,,46394,,46394,,
INV-67165,,Vendor,76024,,20-Apr-24,,15644,,71266,,86910,,86910,,
INV-37846,,Vendor,95360,,6-May-24,,16520,,75256,,91776,,91776,,
INV-44908,,Vendor,67991,,20-Apr-24,,11792,,53721,,65513,,65513,,
INV-61426,,Vendor,12258,,13-Apr-24,,4598,,20948,,25546,,25546,,
INV-46756,,Vendor,41316,,24-Apr-24,,14820,,67512,,82332,,82332,,
INV-53529,,Vendor,36975,,1-May-24,,6779,,30884,,37664,,37664,,
INV-44401,,Vendor,57444,,13-Apr-24,,685,,3119,,3804,,3804,,
INV-44366,,Vendor,54026,,9-Apr-24,,1532,,6978,,8510,,8510,,
INV-32273,,Vendor,31672,,2-May-24,,12771,,58179,,70950,,70950,,
INV-27820,,Vendor,85394,,28-Apr-24,,8289,,37763,,46052,,46052,,
INV-31420,,Vendor,95896,,15-Apr-24,,17126,,78019,,95145,,95145,,
INV-73535,,Vendor,87070,,9-Apr-24,,17808,,81126,,98935,,98935,,
INV-60848,,Vendor,15525,,16-Apr-24,,1552,,7070,,8622,,8622,,
INV-57558,,Vendor,70137,,20-Apr-24,,6336,,28863,,35199,,35199,,
INV-21557,,Vendor,87421,,6-May-24,,6420,,29246,,35666,,35666,,
INV-35892,,Vendor,34450,,8-Apr-24,,15974,,72771,,88745,,88745,,
INV-97920,,Vendor,38321,,18-Apr-24,,12553,,57184,,69737,,69737,,
INV-21405,,Vendor,16636,,18-Apr-24,,14077,,64129,,78206,,78206,,
INV-26133,,Vendor,44621,,3-May-24,,13834,,63022,,76856,,76856,,
INV-25304,,Vendor,90584,,6-May-24,,6318,,28783,,35101,,35101,,
INV-49026,,Vendor,68257,,26-Apr-24,,17888,,81491,,99379,,99379,,
INV-68008,,Vendor,68940,,10-Apr-24,,7348,,33472,,40820,,40820,,
INV-86379,,Vendor,18007,,8-Apr-24,,10884,,49580,,60464,,60464,,
INV-75361,,Vendor,19249,,3-May-24,,16125,,73458,,89583,,89583,,
INV-88735,,Vendor,30648,,19-Apr-24,,2654,,12088,,14742,,14742,,
INV-52828,,Vendor,68210,,11-Apr-24,,6817,,31057,,37874,,37874,,
INV-25201,,Vendor,75766,,25-Apr-24,,11591,,52805,,64396,,64396,,
INV-82603,,Vendor,92090,,7-Apr-24,,7885,,35923,,43808,,43808,,
INV-33701,,Vendor,47120,,18-Apr-24,,15110,,68834,,83944,,83944,,
INV-10515,,Vendor,58429,,23-Apr-24,,16541,,75355,,91897,,91897,,
INV-20826,,Vendor,84083,,23-Apr-24,,9753,,44432,,54186,,54186,,
INV-42886,,Vendor,46865,,1-May-24,,10514,,47896,,58410,,58410,,
INV-69905,,Vendor,87673,,26-Apr-24,,4600,,20957,,25558,,25558,,
INV-34700,,Vendor,35801,,21-Apr-24,,7175,,32688,,39863,,39863,,
INV-68064,,Vendor,47718,,11-Apr-24,,3155,,14373,,17529,,17529,,
INV-13444,,Vendor,20316,,6-May-24,,16781,,76445,,93225,,93225,,
INV-26043,,Vendor,67752,,2-May-24,,17075,,77785,,94860,,94860,,
INV-67212,,Vendor,59916,,28-Apr-24,,13659,,62225,,75884,,75884,,
INV-95632,,Vendor,67811,,2-May-24,,13093,,59645,,72738,,72738,,
INV-18762,,Vendor,35867,,27-Apr-24,,5598,,25501,,31098,,31098,,
INV-26084,,Vendor,44819,,13-Apr-24,,5949,,27101,,33050,,33050,,
INV-37563,,Vendor,99814,,30-Apr-24,,5176,,23579,,28755,,28755,,
INV-22042,,Vendor,33958,,18-Apr-24,,13156,,59931,,73087,,73087,,
INV-60216,,Vendor,93994,,18-Apr-24,,1612,,7344,,8957,,8957,,
INV-48812,,Vendor,26411,,26-Apr-24,,13742,,62603,,76345,,76345,,
INV-58227,,Vendor,45046,,25-Apr-24,,16458,,74977,,91435,,91435,,
INV-89468,,Vendor,76459,,14-Apr-24,,16307,,74286,,90593,,90593,,
INV-78649,,Vendor,51508,,27-Apr-24,,2071,,9436,,11507,,11507,,
INV-51279,,Vendor,43058,,19-Apr-24,,12089,,55070,,67159,,67159,,
INV-26865,,Vendor,20749,,18-Apr-24,,5712,,26023,,31735,,31735,,
INV-10505,,Vendor,54750,,5-May-24,,2673,,12179,,14852,,14852,,
INV-62190,,Vendor,50299,,15-Apr-24,,17108,,77935,,95043,,95043,,
INV-44236,,Vendor,56520,,8-Apr-24,,11991,,54627,,66619,,66619,,
INV-22132,,Vendor,49962,,5-May-24,,5741,,26152,,31892,,31892,,
INV-19013,,Vendor,22025,,29-Apr-24,,2609,,11888,,14497,,14497,,
INV-22349,,Vendor,19287,,1-May-24,,12688,,57801,,70489,,70489,,
INV-72734,,Vendor,53646,,12-Apr-24,,11226,,51141,,62367,,62367,,
