InvoiceNo,ProductKey,CustomerKey,ReturnDate,ReturnReason,RefundAmount
INV100979,P0001,C0165,2024-01-13,Defective,10425.88
INV100814,P0016,C0150,2024-01-23,Wrong Item,5923.68
INV100528,P0005,C0060,2024-10-28,Customer Changed Mind,14063.6
INV101195,P0031,C0146,2024-04-04,Damaged,2235.31
INV100614,P0013,C0112,2024-07-12,Wrong Item,5247.78
INV100537,P0016,C0002,2024-08-04,Wrong Item,1879.41
INV101170,P0028,C0103,2024-12-13,Late Delivery,13885.47
INV100049,P0017,C0122,2024-10-14,Defective,13184.62
INV100492,P0033,C0003,2024-11-06,Customer Changed Mind,4017.54
INV100517,P0018,C0019,2024-04-06,Damaged,9967.76
INV100530,P0005,C0152,2024-03-30,Late Delivery,12294.89
INV100598,P0026,C0102,2024-03-24,Defective,8416.97
INV101018,P0030,C0092,2024-12-25,Late Delivery,8038.83
INV100061,P0009,C0120,2024-07-17,Defective,3779.41
INV100232,P0013,C0053,2024-06-23,Defective,1577.92
INV100102,P0011,C0039,2024-10-03,Customer Changed Mind,13478.79
INV100191,P0016,C0112,2024-12-27,Defective,13526.19
INV100775,P0012,C0169,2024-07-27,Late Delivery,9569.9
INV101090,P0029,C0125,2024-06-01,Defective,5217.64
INV101245,P0004,C0098,2024-04-23,Customer Changed Mind,5368.3
INV100178,P0011,C0167,2024-12-18,Customer Changed Mind,10944.14
INV101202,P0027,C0094,2024-04-09,Late Delivery,13477.23
INV101379,P0031,C0081,2024-05-07,Wrong Item,13328.88
INV100302,P0004,C0014,2024-03-18,Wrong Item,11742.16
INV100526,P0020,C0139,2024-02-16,Defective,9702.07
INV100205,P0015,C0070,2024-08-20,Damaged,1445.27
INV101105,P0032,C0069,2024-02-01,Defective,2592.1
INV101025,P0002,C0122,2024-02-25,Late Delivery,13498.6
INV101177,P0030,C0063,2024-11-20,Late Delivery,9175.15
INV100767,P0029,C0146,2024-06-21,Late Delivery,336.12
INV101140,P0030,C0121,2024-01-18,Late Delivery,1701.78
INV101034,P0021,C0179,2024-03-21,Late Delivery,10019.83
INV100827,P0008,C0049,2024-11-05,Customer Changed Mind,274.91
INV101103,P0032,C0124,2024-03-12,Wrong Item,2579.96
INV100536,P0003,C0178,2024-11-18,Late Delivery,8321.26
INV101255,P0008,C0017,2024-08-06,Damaged,10440.05
INV100271,P0009,C0058,2024-05-02,Damaged,9849.03
INV100342,P0010,C0154,2024-08-11,Damaged,3519.19
