InvoiceNo,OrderDate,CustomerKey,ProductKey,SalespersonKey,Quantity,UnitPrice,DiscountPct,GrossSales,NetSales,PaymentMethod,SalesChannel,OrderStatus,CustomerType
INV200080,27/03/2025,C0129,P0032,S003,1,2426.59,0.0,2426.59,2426.59,Bank Transfer,Retail Store,Completed,Returning
INV200081,31/07/2025,C0098,P0025,S005,6,400.68,0.0,2404.08,2404.08,UPI,Online,Completed,Repeat
INV200082,23/11/2025,C0038,P0029,S010,3,4703.13,0.2,14109.39,11287.51,Cash,Online,Completed,New
INV200083,27/04/2025,C0113,P0017,S008,7,14349.72,0.1,100448.04,90403.24,Bank Transfer,Online,Returned,New
INV200084,01/08/2025,C0014,P0016,S003,2,20526.89,0.05,41053.78,39001.09,Bank Transfer,Retail Store,Returned,Returning
INV200085,10/08/2025,C0020,P0019,S006,9,218.64,0.15,1967.76,1672.6,Cash,Online,Completed,Repeat
INV200086,10/04/2025,C0080,P0033,S003,1,711.5,0.0,711.5,711.5,Wallet,Retail Store,Completed,New
INV200087,18/09/2025,C0056,P0024,S001,8,481.62,0.1,3852.96,3467.66,Wallet,Retail Store,Completed,Returning
INV200088,17/06/2025,C0073,P0024,S001,9,464.94,0.15,4184.46,3556.79,Cash,Retail Store,Returned,Returning
INV200089,19/01/2025,C0171,P0033,S002,3,733.73,0.1,2201.19,1981.07,Cash,Distributor,Completed,New
INV200090,14/03/2025,C0051,P0006,S010,7,13333.5,0.05,93334.5,88667.77,Credit Card,ONLINE,Completed,New
INV200091,10/03/2025,C0050,P0027,S010,4,1989.53,0.1,7958.12,7162.31,UPI,Retail Store,Cancelled,Returning
INV200092,11/05/2025,C0054,P0001,S002,3,75460.56,0.0,226381.68,226381.68,Cash,Online,Completed,Repeat
INV200093,26/03/2025,C0173,P0032,S002,2,2587.51,0.2,5175.02,4140.02,Bank Transfer,Distributor,Completed,Repeat
INV200094,13/05/2025,C0148,P0022,S006,9,422.27,0.0,3800.43,3800.43,Wallet,Distributor,Completed,Returning
INV200095,06/05/2025,C0058,P0002,S007,8,82510.81,0.05,660086.48,627082.16,Wallet,Retail Store,Returned,Returning
INV200096,27/07/2025,C0014,P0020,S005,2,514.76,0.0,1029.52,1029.52,UPI,Online,Returned,New
INV200097,20/02/2025,C0179,P0033,S006,7,742.14,0.2,5194.98,4155.98,Wallet,Retail Store,Completed,New
INV200098,05/05/2025,C0042,P0031,S002,6,996.66,0.0,5979.96,5979.96,Cash,Online,Returned,Repeat
INV200099,16/01/2025,C0086,P0024,S002,5,493.69,0.0,2468.45,2468.45,Cash,Retail Store,Cancelled,New
INV200100,27/07/2025,C0111,P0016,S005,4,21969.84,0.15,87879.36,74697.46,Bank Transfer,Online,Cancelled,Repeat
INV200101,31/10/2025,C0097,P0006,S002,2,14205.41,0.0,28410.82,28410.82,Credit Card,Online,Cancelled,Repeat
INV200102,10/09/2025,C0024,P0010,S001,1,4994.41,0.1,4994.41,4494.97,UPI,Retail Store,Completed,Returning
INV200103,18/12/2025,C0180,P0023,S010,2,76.84,0.0,153.68,153.68,Bank Transfer,Retail Store,Completed,New
INV200104,26/10/2025,C0022,P0003,S010,1,51747.11,0.0,51747.11,51747.11,Cash,Retail Store,Completed,Repeat
INV200105,31/10/2025,C0075,P0005,S010,5,9012.73,0.0,45063.65,45063.65,Wallet,Retail Store,Completed,Returning
INV200106,25/12/2025,C0132,P0007,S008,10,29837.61,0.0,298376.1,298376.1,Credit Card,Retail Store,Completed,Returning
INV200107,25/03/2025,C0178,P0031,S008,6,975.84,0.15,5855.04,4976.78,Cash,Retail Store,Completed,Repeat
INV200108,08/12/2025,C0084,P0014,S004,8,18783.95,0.0,150271.6,150271.6,Credit Card,Online,Completed,Returning
INV200109,02/03/2025,C0038,P0007,S008,3,29993.94,0.0,89981.82,89981.82,Bank Transfer,Retail Store,Completed,Returning
INV200110,03/05/2025,C0124,P0028,S007,2,5531.95,0.2,11063.9,8851.12,Wallet,Distributor,Cancelled,Repeat
INV200111,30/12/2025,C0054,P0031,S001,6,989.43,0.0,5936.58,5936.58,Bank Transfer,Online,Completed,New
INV200112,10/05/2025,C0100,P0012,S008,8,18549.14,0.2,148393.12,118714.5,Bank Transfer,Retail Store,Completed,Repeat
INV200113,29/12/2025,C0109,P0021,S010,3,294.11,0.0,882.33,882.33,UPI,Retail Store,Returned,New
INV200114,07/09/2025,C0086,P0010,S001,3,5276.85,0.0,15830.55,15830.55,Cash,Retail Store,Completed,Returning
INV200115,03/04/2025,C0107,P0003,S001,6,48213.34,0.2,289280.04,231424.03,Wallet,Retail Store,Completed,New
INV200116,23/02/2025,C0124,P0033,S004,4,734.02,0.0,2936.08,2936.08,Wallet,Retail Store,Cancelled,Repeat
INV200117,28/09/2025,C0152,P0013,S007,1,5187.89,0.1,5187.89,4669.1,Wallet,Distributor,Completed,Returning
INV200118,22/08/2025,C0012,P0019,S006,1,222.58,0.1,222.58,200.32,Credit Card,Retail Store,Returned,Repeat
INV200119,08/11/2025,C0147,P0015,S006,10,24252.31,0.0,242523.1,242523.1,Bank Transfer,Distributor,Completed,New
INV200120,09/12/2025,C0149,P0017,S007,5,13945.29,0.0,69726.45,69726.45,Credit Card,Online,Returned,New
INV200121,23/07/2025,C0001,P0028,S001,2,5417.31,0.05,10834.62,10292.89,Wallet,Retail Store,Completed,Returning
INV200122,24/11/2025,C0079,P0004,S008,10,73100.91,0.0,731009.1,731009.1,Wallet,Retail Store,Completed,New
INV200123,19/07/2025,C0144,P0022,S003,9,391.51,0.2,3523.59,2818.87,Cash,Online,Completed,Returning
INV200124,06/05/2025,C0123,P0002,S002,3,87979.67,0.2,263939.01,211151.21,UPI,Distributor,Completed,Returning
INV200125,12/05/2025,C0107,P0011,S007,4,7096.95,0.2,28387.8,22710.24,Credit Card,Retail Store,Completed,Returning
INV200126,21/12/2025,C0141,P0005,S002,3,10234.21,0.0,30702.63,30702.63,Credit Card,Online,Completed,Repeat
INV200127,02/04/2025,C0030,P0029,S006,2,4683.18,0.15,9366.36,7961.41,Wallet,Retail Store,Cancelled,New
INV200128,04/09/2025,C0172,P0018,S002,6,5133.81,0.0,30802.86,30802.86,UPI ,Online,Cancelled,Repeat
INV200129,10/01/2025,C0159,P0006,S002,3,13220.02,0.0,39660.06,39660.06,Wallet,Distributor,Cancelled,New
INV200130,03/09/2025,C0162,P0023,S001,6,84.99,0.1,509.94,458.95,Cash,Online,Cancelled,Repeat
INV200131,19/04/2025,C0043,P0013,S010,8,5020.68,0.15,40165.44,34140.62,Credit Card,Distributor,Completed,Returning
INV200132,11/09/2025,C0143,P0030,S007,6,1921.72,0.2,11530.32,9224.26,Credit Card,Online,Returned,New
INV200133,02/01/2025,C0147,P0023,S001,6,79.09,0.2,474.54,379.63,Credit Card,Retail Store,Returned,New
INV200134,10/03/2025,C0025,P0008,S010,3,2540.92,0.1,7622.76,6860.48,Wallet,Distributor,Completed,New
INV200135,16/11/2025,C0009,P0021,S004,5,292.02,0.15,1460.1,1241.08,Bank Transfer,Online,Completed,New
INV200136,03/06/2025,C0171,P0009,S005,7,5169.03,0.0,36183.21,36183.21,Cash,Online,Cancelled,Repeat
INV200137,08/02/2025,C0128,P0020,S005,7,471.58,0.0,3301.06,3301.06,Bank Transfer,Retail Store,Completed,Returning
INV200138,17/02/2025,C0036,P0007,S006,2,31161.07,0.0,62322.14,62322.14,Bank Transfer,Retail Store,Completed,New
INV200139,23/10/2025,C0055,P0006,S004,1,13153.59,0.05,13153.59,12495.91,Wallet,Distributor,Completed,Returning
INV200140,09/10/2025,C0148,P0020,S009,5,542.55,0.0,2712.75,2712.75,Credit Card,Retail Store,Returned,New
INV200141,03/12/2025,C0086,P0018,S001,3,4916.01,0.0,14748.03,14748.03,Wallet,Online,Completed,Repeat
INV200142,22/01/2025,C0121,P0024,S007,9,476.1,0.0,4284.9,4284.9,Wallet,Distributor,Completed,New
INV200143,21/06/2025,C0044,P0012,S010,2,18123.0,0.2,36246.0,28996.8,Cash,Online,Completed,New
INV200144,16/12/2025,C0131,P0016,S007,1,21026.11,0.2,21026.11,16820.89,Bank Transfer,Distributor,Completed,Repeat
INV200145,08/10/2025,C0061,P0004,S007,4,74645.64,0.15,298582.56,253795.18,UPI,Distributor,Completed,Repeat
INV200146,11/03/2025,C0104,P0027,S010,5,1822.32,0.05,9111.6,8656.02,Credit Card,Distributor,Returned,Repeat
INV200147,28/11/2025,C0155,P0032,S001,2,2642.15,0.1,5284.3,4755.87,Bank Transfer,Distributor,Completed,Returning
INV200148,05/04/2025,C0165,P0008,S004,3,2356.12,0.2,7068.36,5654.69,UPI,Distributor,Completed,Returning
INV200149,06/02/2025,C0176,P0026,S003,4,345.08,0.05,1380.32,1311.3,Wallet,Online,Completed,Returning
INV200150,26/02/2025,C0179,P0001,S007,2,74718.26,0.05,149436.52,141964.69,UPI,Online,Completed,Repeat
INV200151,16/06/2025,C0106,P0025,S009,5,423.71,0.1,2118.55,1906.69,UPI,Online,Returned,Repeat
INV200152,07/04/2025,C0171,P0016,S008,8,20739.44,0.05,165915.52,157619.74,Bank Transfer,Online,Returned,Repeat
INV200153,23/03/2025,C0016,P0004,S008,9,69259.21,0.05,623332.89,592166.25,Credit Card,Retail Store,Completed,Repeat
INV200154,24/05/2025,C0046,P0028,S001,8,5012.24,0.15,40097.92,34083.23,Cash,Retail Store,Completed,Returning
INV200155,25/04/2025,C0116,P0013,S005,8,4651.26,0.1,37210.08,33489.07,Cash,Online,Returned,New
INV200156,09/01/2025,C0061,P0032,S007,4,2608.38,0.15,10433.52,8868.49,UPI,Online,Completed,Returning
INV200157,09/07/2025,C0134,P0017,S002,5,13913.62,0.2,69568.1,55654.48,Bank Transfer,Distributor,Returned,New
INV200158,02/02/2025,C0146,P0007,S004,5,30396.82,0.05,151984.1,144384.89,Wallet,Distributor,Cancelled,Returning
INV200159,04/04/2025,C0161,P0032,S009,1,2795.45,0.0,2795.45,2795.45,Bank Transfer,Distributor,Cancelled,Repeat
INV200160,18/10/2025,C0088,P0001,S008,4,73490.58,0.0,293962.32,293962.32,Bank Transfer,Distributor,Returned,Repeat
INV200161,23/12/2025,C0070,P0013,S007,10,4878.73,0.15,48787.3,41469.2,Credit Card,Retail Store,Returned,Returning
INV200162,11/04/2025,C0063,P0021,S001,6,276.44,0.05,1658.64,1575.71,UPI,Distributor,Completed,Repeat
INV200163,27/04/2025,C0111,P0002,S002,2,90218.3,0.15,180436.6,153371.11,UPI,Retail Store,Completed,New
INV200164,28/08/2025,C0106,P0005,S002,9,10025.59,0.1,90230.31,81207.28,UPI,Distributor,Completed,New
INV200165,09/07/2025,C0025,P0003,S005,1,48736.98,0.15,48736.98,41426.43,Bank Transfer,Distributor,Cancelled,Repeat
INV200166,18/04/2025,C0024,P0022,S004,10,384.48,0.0,3844.8,3844.8,Bank Transfer,Distributor,Cancelled,Returning
INV200167,19/11/2025,C0062,P0003,S008,5,46821.25,0.15,234106.25,198990.31,Credit Card,Retail Store,Completed,Repeat
INV200168,19/06/2025,C0026,P0006,S009,10,14484.51,0.0,144845.1,144845.1,Bank Transfer,Online,Returned,Returning
INV200169,28/06/2025,C0092,P0029,S009,3,4663.7,0.0,13991.1,13991.1,Wallet,Online,Completed,New
INV200170,30/03/2025,C0041,P0015,S001,3,25731.12,0.0,77193.36,77193.36,UPI,Online,Completed,Repeat
INV200171,01/02/2025,C0170,P0029,S004,10,4155.27,0.0,41552.7,41552.7,UPI,Retail Store,Completed,Returning
INV200172,10/08/2025,C0040,P0005,S003,8,8923.89,0.1,71391.12,64252.01,Bank Transfer,Online,Cancelled,New
INV200173,17/12/2025,C0108,P0007,S002,3,26983.99,0.0,80951.97,80951.97,Cash,Online,Returned,New
INV200174,25/12/2025,C0043,P0018,S009,9,5283.22,0.2,47548.98,38039.18,Wallet,Distributor,Completed, repeat 
INV200175,22/03/2025,C0153,P0014,S008,7,18515.33,0.0,129607.31,129607.31,Cash,Retail Store,Completed,Repeat
INV200176,07/11/2025,C0055,P0002,S004,7,83153.89,0.05,582077.23,552973.37,Wallet,Retail Store,Completed,Returning
INV200177,01/03/2025,C0178,P0009,S001,4,5528.68,0.2,22114.72,17691.78,Credit Card,Distributor,Returned,Repeat
INV200178,29/11/2025,C0149,P0009,S001,9,5390.47,0.0,48514.23,48514.23,UPI,Online,Completed,New
INV200179,18/09/2025,C0156,P0005,S004,9,9041.6,0.15,81374.4,69168.24,Wallet,ONLINE,Completed,Repeat
INV200180,14/05/2025,C0086,P0009,S003,1,5348.88,0.1,5348.88,4813.99,UPI,Online,Completed,Returning
INV200181,22/11/2025,C0023,P0010,S010,8,5200.46,0.0,41603.68,41603.68,Wallet,Online,Completed,Repeat
INV200182,26/03/2025,C0175,P0018,S006,1,5480.57,0.0,5480.57,5480.57,Credit Card,Distributor,Completed,Returning
INV200183,16/01/2025,C0022,P0021,S003,10,259.16,0.0,2591.6,2591.6,UPI,Retail Store,Completed,Repeat
INV200184,03/10/2025,C0166,P0024,S001,10,512.11,0.0,5121.1,5121.1,Bank Transfer,Retail Store,Returned,Returning
INV200185,28/02/2025,C0130,P0019,S005,5,204.87,0.0,1024.35,1024.35,UPI,Distributor,Cancelled,Returning
INV200186,02/09/2025,C0074,P0032,S009,2,2469.22,0.0,4938.44,4938.44,Bank Transfer,Distributor,Cancelled,New
INV200187,10/06/2025,C0098,P0031,S001,9,1001.76,0.1,9015.84,8114.26,Credit Card,Distributor,Completed,New
INV200188,05/12/2025,C0067,P0016,S007,6,20417.79,0.2,122506.74,98005.39,Bank Transfer,Distributor,Cancelled,Repeat
INV200189,29/09/2025,C0039,P0026,S007,10,307.86,0.0,3078.6,3078.6,UPI,Retail Store,Cancelled,New
INV200190,14/06/2025,C0095,P0004,S006,5,76021.3,0.0,380106.5,380106.5,Cash,Distributor,Completed,Returning
INV200191,21/01/2025,C0161,P0031,S001,7,965.2,0.0,6756.4,6756.4,Wallet,Distributor,Cancelled,Repeat
INV200192,13/11/2025,C0091,P0002,S010,9,79763.41,0.0,717870.69,717870.69,Credit Card,Retail Store,Completed,New
INV200193,20/07/2025,C0065,P0008,S009,9,2341.79,0.2,21076.11,16860.89,Bank Transfer,Distributor,Completed,Returning
INV200194,31/08/2025,C0128,P0016,S009,4,21680.41,0.1,86721.64,78049.48,UPI,Distributor,Completed,Repeat
INV200195,18/05/2025,C0063,P0010,S002,3,5181.89,0.2,15545.67,12436.54,Bank Transfer,Distributor,Completed,Returning
INV200196,20/10/2025,C0166,P0020,S007,5,471.14,0.0,2355.7,2355.7,Cash,Distributor,Completed,Repeat
INV200197,28/09/2025,C0111,P0014,S002,5,16976.16,0.05,84880.8,80636.76,Credit Card,Retail Store,Completed,Returning
INV200198,19/07/2025,C0041,P0023,S006,5,77.12,0.0,385.6,385.6,UPI,Distributor,Completed,Repeat
INV200199,06/10/2025,C0175,P0012,S005,4,15944.06,0.2,63776.24,51020.99,Credit Card,Retail Store,Returned,Repeat
INV200200,30/07/2025,C0072,P0019,S009,10,219.62,0.15,2196.2,1866.77,Credit Card,Online,Completed,Repeat
INV200201,04/05/2025,C0143,P0033,S009,3,733.9,0.05,2201.7,2091.61,UPI,Retail Store,Cancelled,Returning
INV200202,01/02/2025,C0173,P0022,S001,5,420.38,0.2,2101.9,1681.52,Bank Transfer,Online,Completed,New
INV200203,17/04/2025,C0091,P0013,S009,5,4686.37,0.15,23431.85,19917.07,Credit Card,Retail Store,Completed,New
INV200204,22/02/2025,C0024,P0007,S010,8,28806.19,0.15,230449.52,195882.09,Credit Card,Distributor,Completed,Returning
INV200205,12/04/2025,C0062,P0006,S004,8,12769.96,0.0,102159.68,102159.68,Bank Transfer,Online,Completed,Repeat
INV200206,18/01/2025,C0020,P0006,S010,9,14123.39,0.1,127110.51,114399.46,Bank Transfer,Retail Store,Completed,Repeat
INV200207,14/09/2025,C0105,P0001,S001,3,82420.67,0.0,247262.01,247262.01,Credit Card,Distributor,Completed,Repeat
INV200208,01/08/2025,C0029,P0009,S010,9,5137.93,0.0,46241.37,46241.37,Cash,Retail Store,Returned,Returning
INV200209,26/12/2025,C0128,P0017,S005,10,14899.2,0.0,148992.0,148992.0,Cash,Online,Cancelled,Returning
INV200210,20/04/2025,C0101,P0024,S010,6,525.31,0.0,3151.86,3151.86,Credit Card,Retail Store,Cancelled,New
INV200211,05/03/2025,C0135,P0019,S002,9,209.81,0.05,1888.29,1793.88,Cash,Distributor,Returned,Repeat
INV200212,14/01/2025,C0151,P0009,S007,4,5626.97,0.0,22507.88,22507.88,UPI,Online,Cancelled,Returning
INV200213,16/09/2025,C0038,P0005,S004,8,9431.6,0.05,75452.8,71680.16,Cash,Online,Completed,Repeat
INV200214,19/01/2025,C0179,P0019,S003,9,216.18,0.15,1945.62,1653.78,Credit Card,Retail Store,Completed,Repeat
INV200215,02/05/2025,C0127,P0026,S007,7,298.12,0.2,2086.84,1669.47,Credit Card,Online,Completed,Repeat
INV200216,10/01/2025,C0011,P0013,S001,9,4722.11,0.0,42498.99,42498.99,Cash,Distributor,Completed,New
INV200217,17/07/2025,C0040,P0030,S002,6,1872.72,0.2,11236.32,8989.06,UPI,Online,Completed,Repeat
INV200218,02/07/2025,C0014,P0028,S009,9,5331.97,0.0,47987.73,47987.73,Credit Card,Retail Store,Returned,Repeat
INV200219,15/10/2025,C0165,P0010,S010,4,5545.3,0.15,22181.2,18854.02,Bank Transfer,Distributor,Completed,New
INV200220,04/05/2025,C0078,P0001,S009,8,76427.75,0.0,611422.0,611422.0,UPI,Retail Store,Cancelled,Returning
INV200221,28/09/2025,C0035,P0027,S001,4,1942.65,0.0,7770.6,7770.6,Wallet,Distributor,Completed,New
INV200222,22/02/2025,C0171,P0024,S008,1,520.27,0.15,520.27,442.23,Wallet,Retail Store,Cancelled,Returning
INV200223,29/12/2025,C0017,P0019,S005,10,234.71,0.0,2347.1,2347.1,Cash,Retail Store,Cancelled,New
